transaction_iD,transaction_date,product_id,product_name,quantity,unit_price,total_price
R000001,2023-01-01,P001,ソニーBRAVIAKJ-55X9500G［期間限定］,2,150000,300000
R000002,2023-02-02,P002,パナソニック VIERA TH-55FX700M【店頭】＜期間限定＞,3,120000,360000
R000003,2023-03-03,P003,シャープ AQUOS 4T KJ-55X7000[半額セール],4,110000,440000
R000004,2023-04-04,P004,日清カップヌードル［期間限定］,5,200,1000
R000005,2023-05-05,P005,キリン 一番搾りビール【店頭】＜半額セール＞,1,400,400
R000006,2023-06-06,P006,アタック洗剤（期間限定）,2,800,1600
R000007,2023-07-07,P007,ﾕﾆｸﾛﾋｰﾄﾃッｸTｼャﾂ[半額セール],3,1500,4500
R000008,2023-08-08,P008,無印良品 オーガニックコットンシャツ【店頭】［期間限定］,4,2500,10000
R000009,2023-09-09,P009,パイロット フリクションボールペン【閉店セール】,5,100,500
R000010,2023-10-10,P010,タカラトミーガンダムフィギュア【期間限定】,1,3000,3000
R000011,2023-11-11,P011,東芝 ＲＥＧＺＡ ４３Ｓ３２【店頭】【半額セール】,2,70000,140000
R000012,2023-12-12,P012,ミルクチョコレート[期間限定],3,150,450
R000013,2023-01-13,P013,ライオンレノアハピネス【半額セール】,4,500,2000
R000014,2023-02-14,P014,三菱ｴｱｺﾝ MSZ-GV3519【店頭】＜期間限定＞,5,90000,450000
R000015,2023-03-15,P015,森永 エンゼルパイ＜半額セール＞,1,300,300
R000016,2023-04-16,P016,日立4Kスマートテレビ【期間限定】,2,80000,160000
R000017,2023-05-17,P017,パナソニック 4Kプロジェクター【店頭】（半額セール）,3,130000,390000
R000018,2023-06-18,P018,加湿器 HX-50［期間限定］,4,15000,60000
R000019,2023-07-19,P019,ソニーワイヤレスヘッドホンWH-1000XM4[半額セール],5,90000,450000
R000020,2023-08-20,P020,パナソニック 掃除機 mc-cl883【店頭】[半額セール],1,75000,75000
R000021,2023-09-21,P021,東芝 ﾉﾝﾌﾛﾝ冷蔵庫［半額セール］,2,85000,170000
R000022,2023-10-22,P022,日立ドラム式洗濯機【半額セール】,3,100000,300000
R000023,2023-11-23,P023,パナソニック エアコン CS-XE【店頭】【半額セール】,4,95000,380000
R000024,2023-12-24,P024,デジタルカメラ α7 III（期間限定）,5,200000,1000000
R000025,2023-01-25,P025,キヤノンeosr6［期間限定］,1,230000,230000
R000026,2023-02-26,P026,富士通 ノートパソコン FMV【店頭】[期間限定],2,80000,160000
R000027,2023-03-27,P027,NEC ValueBook＜半額セール＞,3,85000,255000
R000028,2023-04-28,P028,ｵﾘﾝパｽOM-DE-M10【閉店セール】,4,120000,480000
R000029,2023-05-01,P029,キャノン PIXMA iX6820【店頭】［期間限定］,5,25000,125000
R000030,2023-06-02,P030,エコタンク et-2750【半額セール】,1,35000,35000
R000031,2023-07-03,P031,リコーIMC200（期間限定）,2,40000,80000
R000032,2023-08-04,P032,京セラ DS-300【店頭】【半額セール】,3,45000,135000
R000033,2023-09-05,P033,日清 どん兵衛＜期間限定＞,4,220,880
R000034,2023-10-06,P034,サントリーザ・プレミアムモルツ（期間限定）,5,500,2500
R000035,2023-11-07,P035,ﾔｸﾙﾄ 1000【店頭】［期間限定］,1,250,250
R000036,2023-12-08,P036,カレールウ［半額セール］,2,300,600
R000037,2023-01-09,P037,マルちゃん正麺[期間限定],3,250,750
R000038,2023-02-10,P038,江崎グリコ ポッキー【店頭】【閉店セール】,4,150,600
R000039,2023-03-11,P039,ロッテ ガーナミルクチョコレート[半額セール],5,180,900
R000040,2023-04-12,P040,クラシエサッポロ一番【半額セール】,1,210,210
R000041,2023-05-13,P041,カゴメ トマトジュース【店頭】[閉店セール],2,180,360
R000042,2023-06-14,P042,ｿﾌィ【期間限定】,3,350,1050
R000043,2023-07-15,P043,P&Gアリエール洗濯洗剤[閉店セール],4,800,3200
R000044,2023-08-16,P044,資生堂 ＴＳＵＢＡＫＩシャンプー【店頭】【半額セール】,5,1200,6000
R000045,2023-09-17,P045,大正製薬 サロンパス【閉店セール】,1,400,400
R000046,2023-10-18,P046,ロート製薬ムヒ［期間限定］,2,500,1000
R000047,2023-11-19,P047,カネボウ ハンドクリーム【店頭】[期間限定],3,700,2100
R000048,2023-12-20,P048,ソフィ 洗濯柔軟剤（半額セール）,4,300,1200
R000049,2023-01-21,P049,ﾕﾆｸﾛジｰﾝズ［期間限定］,5,3000,15000
R000050,2023-02-22,P050,無印良品 ウールブレンドコート【店頭】＜期間限定＞,1,5000,5000
R000051,2023-03-23,P051,ユニクロ スウェットパーカー（半額セール）,2,2500,5000
R000052,2023-04-24,P052,無印良品リネンシャツ＜半額セール＞,3,2800,8400
R000053,2023-05-25,P053,ユニクロ ストレッチジャケット【店頭】（期間限定）,4,3500,14000
R000054,2023-06-26,P054,Tシャツ[閉店セール],5,1200,6000
R000055,2023-07-27,P055,無印良品シンプルワンピース＜期間限定＞,1,4000,4000
R000056,2023-08-28,P056,パｲﾛッﾄ G2 ジェﾙペﾝ【店頭】［半額セール］,2,150,300
R000057,2023-09-01,P057,三菱鉛筆 ユニ【閉店セール】,3,120,360
R000058,2023-10-02,P058,コクヨキャンパスノート（半額セール）,4,200,800
R000059,2023-11-03,P059,ゼブラ マイルドライナー【店頭】【半額セール】,5,180,900
R000060,2023-12-04,P060,モノ消しゴム＜期間限定＞,1,100,100
R000061,2023-01-05,P061,PentelEnerGel［期間限定］,2,180,360
R000062,2023-02-06,P062,パイロット フリクションペン【店頭】【閉店セール】,3,130,390
